J02029.1	1804	0.00
J02029.1	1796	0.00
J02029.1	1792	0.00
J02029.1	1790	0.00
J02029.1	1788	0.00
J02029.1	1787	0.00
J02029.1	1785	0.00
J02029.1	1781	0.00
J02029.1	1779	0.00
J02029.1	1776	0.00
J02029.1	1775	0.00
J02029.1	1773	0.00
J02029.1	1770	0.00
J02029.1	1768	0.00
J02029.1	1766	0.00
J02029.1	1762	0.00
J02029.1	1757	0.00
J02029.1	1756	0.00
J02029.1	1755	0.00
J02029.1	1754	0.00
J02029.1	1749	0.00
J02029.1	1745	0.00
J02029.1	1744	0.00
J02029.1	1740	0.00
J02029.1	1734	0.00
J02029.1	1732	0.00
J02029.1	1728	0.00
J02029.1	1726	0.00
J02029.1	1723	0.00
J02029.1	1722	0.00
J02029.1	1698	0.00
J02029.1	1689	0.00
J02029.1	1683	0.00
J02029.1	1675	0.00
J02029.1	1671	0.00
J02029.1	1654	0.00
J02029.1	1637	0.00
J02029.1	1634	0.00
J02029.1	1621	0.00
J02029.1	1617	0.00
J02029.1	1616	0.01
J02029.1	1615	0.01
J02029.1	1614	0.01
J02029.1	1604	0.01
J02029.1	1601	0.01
J02029.1	1597	0.01
J02029.1	1594	0.01
J02029.1	1593	0.01
J02029.1	1592	0.01
J02029.1	1591	0.01
J02029.1	1590	0.01
J02029.1	1582	0.01
J02029.1	1581	0.01
J02029.1	1580	0.01
J02029.1	1577	0.01
J02029.1	1574	0.01
J02029.1	1573	0.01
J02029.1	1572	0.01
J02029.1	1571	0.01
J02029.1	1567	0.01
J02029.1	1564	0.01
J02029.1	1563	0.01
J02029.1	1561	0.01
J02029.1	1560	0.01
J02029.1	1559	0.01
J02029.1	1558	0.01
J02029.1	1557	0.01
J02029.1	1556	0.01
J02029.1	1554	0.01
J02029.1	1553	0.01
J02029.1	1550	0.01
J02029.1	1549	0.01
J02029.1	1547	0.01
J02029.1	1545	0.01
J02029.1	1543	0.01
J02029.1	1542	0.01
J02029.1	1539	0.01
J02029.1	1537	0.01
J02029.1	1536	0.01
J02029.1	1535	0.01
J02029.1	1531	0.01
J02029.1	1528	0.01
J02029.1	1521	0.01
J02029.1	1520	0.01
J02029.1	1519	0.01
J02029.1	1518	0.01
J02029.1	1517	0.01
J02029.1	1514	0.01
J02029.1	1512	0.02
J02029.1	1511	0.02
J02029.1	1509	0.02
J02029.1	1506	0.02
J02029.1	1505	0.02
J02029.1	1502	0.02
J02029.1	1501	0.02
J02029.1	1500	0.02
J02029.1	1497	0.02
J02029.1	1496	0.02
J02029.1	1495	0.02
J02029.1	1494	0.02
J02029.1	1493	0.02
J02029.1	1492	0.02
J02029.1	1491	0.02
J02029.1	1490	0.02
J02029.1	1489	0.02
J02029.1	1488	0.02
J02029.1	1487	0.02
J02029.1	1486	0.02
J02029.1	1485	0.02
J02029.1	1484	0.02
J02029.1	1478	0.02
J02029.1	1476	0.02
J02029.1	1473	0.02
J02029.1	1471	0.02
J02029.1	1470	0.02
J02029.1	1466	0.02
J02029.1	1465	0.02
J02029.1	1464	0.02
J02029.1	1462	0.02
J02029.1	1461	0.02
J02029.1	1459	0.02
J02029.1	1458	0.02
J02029.1	1455	0.03
J02029.1	1454	0.03
J02029.1	1453	0.03
J02029.1	1452	0.03
J02029.1	1449	0.03
J02029.1	1448	0.03
J02029.1	1447	0.03
J02029.1	1446	0.03
J02029.1	1444	0.03
